id,group,route,parameter,symbol,unit,value_2026,classification,status,prospective_status,resolved_yaml_path,candidate_yaml_paths,notes
M-EC01,Economia,B1,Taxa de desconto / WACC real,r,p.u.,0.08,Parametro de entrada,A - Consolidado 2026,D - Driver prospectivo 2030-2050,economics.wacc_real,economics.wacc_real | economics.discount_rate,
M-EC02,Economia,B1,Horizonte economico,n,anos,20,Parametro de entrada,A - Consolidado 2026,Avaliar manutencao ou harmonizacao,economics.analysis_horizon_years,economics.analysis_horizon_years | economics.project_lifetime_years,
M-PV01,PV,B1,CAPEX PV,,USD/kW,1000.0,Parametro de entrada,A - Consolidado 2026,D - Driver prospectivo central,economics.capex.pv_usd_per_kw,economics.capex.pv_usd_per_kw,
M-PV02,PV,B1,OPEX fixo PV,,fracao CAPEX/ano,0.01,Parametro de entrada,A - Consolidado 2026,D - Prospectivo se houver fonte diferenciada,economics.opex_fixed.pv_fraction_of_capex_per_year,economics.opex_fixed.pv_fraction_of_capex_per_year,
M-B01A,BSV,B1,CAPEX modulo BSV,,USD/kWh,120.0,Parametro de entrada,A - Consolidado 2026,D - Driver prospectivo central,economics.capex.bsv_module_usd_per_kwh,economics.capex.bsv_module_usd_per_kwh,
M-B01B,BSV,B1,CAPEX repurpose BSV,,USD/kWh,60.0,Parametro de entrada,A - Consolidado 2026,D - Driver prospectivo / circularidade,economics.capex.bsv_repurpose_usd_per_kwh,economics.capex.bsv_repurpose_usd_per_kwh,
M-B01C,BSV,B1,CAPEX integracao BSV,,USD/kWh,40.0,Parametro de entrada,A - Consolidado 2026,D - Driver prospectivo,economics.capex.bsv_integration_usd_per_kwh,economics.capex.bsv_integration_usd_per_kwh,
M-B01D,BSV,B1,CAPEX BSV total,,USD/kWh,220.0,Parametro derivado,A - Derivado do YAML 2026,D - Resultado da soma dos componentes prospectivos,,,Modulo + repurpose + integracao.
M-B02,BSV,B1,OPEX fixo BSV,,fracao CAPEX/ano,0.02,Parametro de entrada,A - Consolidado 2026,D - Prospectivo se necessario,economics.opex_fixed.bsv_fraction_of_capex_per_year,economics.opex_fixed.bsv_fraction_of_capex_per_year,
M-B03,BSV,B1,SOC inicial BSV,SOC0,p.u.,0.5,Parametro de entrada,A - Consolidado 2026,Manter salvo sensibilidade,technology.battery.soc_init_fraction,technology.battery.soc_init_fraction | technology.bsv.soc_init_fraction,
M-B04,BSV,B1,SOC minimo BSV,SOCmin,p.u.,0.1,Parametro de entrada,A - Consolidado 2026,Manter salvo sensibilidade,technology.battery.min_soc_fraction,technology.battery.min_soc_fraction | technology.bsv.min_soc_fraction,
M-B05,BSV,B1,SOH inicial BSV,SOH0,p.u.,0.8,Parametro de entrada,A - Consolidado 2026,D - Pode evoluir tecnologicamente,technology.battery.soh_initial,technology.battery.soh_initial | technology.bsv.soh_initial,
M-B06,BSV,B1,Janela SOC util,DeltaSOC,p.u.,0.8,Parametro de entrada,A - Consolidado 2026,D - Sensibilidade tecnologica,technology.battery.usable_soc_window,technology.battery.usable_soc_window | technology.bsv.usable_soc_window,
M-B07,BSV,B1,RTE BSV,eta_RT,p.u.,0.85,Parametro de entrada,A - Consolidado 2026,D - Driver tecnologico,technology.battery.battery_roundtrip,technology.battery.battery_roundtrip | technology.bsv.battery_roundtrip,
M-B08,BSV,B1,C-rate maximo,Cmax,h^-1,0.9,Parametro de entrada,A - Consolidado 2026,D - Driver tecnologico,technology.battery.c_rate_max,technology.battery.c_rate_max | technology.bsv.c_rate_max,
H-G01,Rede,H2,Modelo tarifario,,,two_tier,Parametro de entrada,A - Consolidado 2026,D - Driver de politica tarifaria,tariff.pricing_model,tariff.pricing_model,
H-G02,Rede,H2,Tarifa fora de ponta,c_off,USD/kWh,0.15,Parametro de entrada,A - Consolidado 2026,D - Driver prospectivo central,tariff.offpeak_price_usd_kwh,tariff.offpeak_price_usd_kwh | tariff.offpeak_usd_per_kwh,
H-G03,Rede,H2,Tarifa ponta,c_peak,USD/kWh,0.5,Parametro de entrada,A - Consolidado 2026,D - Driver prospectivo central,tariff.peak_price_usd_kwh,tariff.peak_price_usd_kwh | tariff.peak_usd_per_kwh,
H-G04,Rede,H2,Inicio da ponta,,hora,18,Parametro de entrada,A - Consolidado 2026,D - Politica tarifaria,tariff.peak_window.start_hour,tariff.peak_window.start_hour | tariff.peak_start_hour,
H-G05,Rede,H2,Fim da ponta,,hora,21,Parametro de entrada,A - Consolidado 2026,D - Politica tarifaria,tariff.peak_window.end_hour,tariff.peak_window.end_hour | tariff.peak_end_hour,
H-G06,Rede,H2,Inclui demanda contratada,,boolean,True,Parametro de entrada,A - Consolidado 2026,D - Politica tarifaria,tariff.include_demand_charge,tariff.include_demand_charge,
H-G07,Rede,H2,Tarifa de demanda,,USD/kW.mes,30.0,Parametro de entrada,A - Consolidado 2026,D - Driver prospectivo,tariff.demand_charge_usd_kw_month,tariff.demand_charge_usd_kw_month,
M-G01,Rede,B1,Modelo tarifario,,,two_tier,Parametro de entrada,A - Consolidado 2026,D - Driver de politica tarifaria,tariff.pricing_model,tariff.pricing_model,
M-G02,Rede,B1,Tarifa fora de ponta,c_off,USD/kWh,0.15,Parametro de entrada,A - Consolidado 2026,D - Driver prospectivo central,tariff.offpeak_price_usd_kwh,tariff.offpeak_price_usd_kwh | tariff.offpeak_usd_per_kwh,
M-G03,Rede,B1,Tarifa ponta,c_peak,USD/kWh,0.5,Parametro de entrada,A - Consolidado 2026,D - Driver prospectivo central,tariff.peak_price_usd_kwh,tariff.peak_price_usd_kwh | tariff.peak_usd_per_kwh,
M-G04,Rede,B1,Inicio da ponta,,hora,18,Parametro de entrada,A - Consolidado 2026,D - Politica tarifaria,tariff.peak_window.start_hour,tariff.peak_window.start_hour | tariff.peak_start_hour,
M-G05,Rede,B1,Fim da ponta,,hora,21,Parametro de entrada,A - Consolidado 2026,D - Politica tarifaria,tariff.peak_window.end_hour,tariff.peak_window.end_hour | tariff.peak_end_hour,
M-G06,Rede,B1,Inclui demanda contratada,,boolean,True,Parametro de entrada,A - Consolidado 2026,D - Politica tarifaria,tariff.include_demand_charge,tariff.include_demand_charge,
M-G07,Rede,B1,Tarifa de demanda,,USD/kW.mes,30.0,Parametro de entrada,A - Consolidado 2026,D - Driver prospectivo,tariff.demand_charge_usd_kw_month,tariff.demand_charge_usd_kw_month,
H01,H2,H2,Eficiencia eletrolisador,eta_ELZ,p.u.,0.7,Parametro de entrada,A - Consolidado 2026,D - Driver tecnologico central,technology.efficiencies.electrolyzer,technology.efficiencies.electrolyzer | technology.hydrogen.electrolyzer_efficiency | technology.electrolyzer.efficiency | technology.electrolyzer.eta | technology.hydrogen.eta_elz,
H02,H2,H2,PCI H2,PCI_H2,kWh/kg,33.33,Parametro de entrada,A - Consolidado 2026,Parametro fisico - manter,technology.hydrogen.lhv_kwh_per_kg,technology.hydrogen.lhv_kwh_per_kg | technology.h2.lhv_kwh_per_kg | technology.hydrogen.pci_kwh_per_kg,
H03,H2,H2,Eficiencia fuel cell,eta_FC,p.u.,0.5,Parametro de entrada,A - Consolidado 2026,D - Driver tecnologico central,technology.efficiencies.fuelcell,technology.efficiencies.fuelcell | technology.hydrogen.fuelcell_efficiency | technology.fuelcell.efficiency | technology.fuel_cell.efficiency | technology.hydrogen.eta_fc,
H04,H2,H2,CAPEX eletrolisador,,USD/kW,2000.0,Parametro de entrada,A - Consolidado 2026,D - Driver prospectivo central,economics.capex.electrolyzer_usd_per_kw,economics.capex.electrolyzer_usd_per_kw,
H05,H2,H2,CAPEX tanque H2,,USD/kg,600.0,Parametro de entrada,A - Consolidado 2026,D - Driver prospectivo,economics.capex.h2_tank_usd_per_kg,economics.capex.h2_tank_usd_per_kg,
H06,H2,H2,CAPEX fuel cell,,USD/kW,1300.0,Parametro de entrada,A - Consolidado 2026,D - Driver prospectivo central,economics.capex.fuelcell_usd_per_kw,economics.capex.fuelcell_usd_per_kw,
H07,H2,H2,OPEX fixo eletrolisador,,fracao CAPEX/ano,0.02,Parametro de entrada,A - Consolidado 2026,D - Prospectivo,economics.opex_fixed.electrolyzer_fraction_of_capex_per_year,economics.opex_fixed.electrolyzer_fraction_of_capex_per_year,
H08,H2,H2,OPEX fixo fuel cell,,fracao CAPEX/ano,0.03,Parametro de entrada,A - Consolidado 2026,D - Prospectivo,economics.opex_fixed.fuelcell_fraction_of_capex_per_year,economics.opex_fixed.fuelcell_fraction_of_capex_per_year,
H09,H2,H2,OPEX fixo tanque H2,,fracao CAPEX/ano,0.01,Parametro de entrada,A - Consolidado 2026,D - Prospectivo,economics.opex_fixed.h2_tank_fraction_of_capex_per_year,economics.opex_fixed.h2_tank_fraction_of_capex_per_year,
H10,H2,H2,SOC inicial tanque H2,,p.u.,0.5,Parametro de entrada,A - Consolidado 2026,Premissa operacional,technology.h2_storage.soc_init_fraction,technology.h2_storage.soc_init_fraction,
H11,H2,H2,Limite eletrolisador,,kW,500,Restricao / espaco de decisao,A - Consolidado 2026,D - Pode variar por cenario,optimization.constraints.electrolyzer_kw.max,optimization.constraints.electrolyzer_kw.max,
H12,H2,H2,Limite tanque H2,,kg,300,Restricao / espaco de decisao,A - Consolidado 2026,D - Pode variar por cenario,optimization.constraints.h2_tank_kg.max,optimization.constraints.h2_tank_kg.max,
H13,H2,H2,Limite fuel cell,,kW,500,Restricao / espaco de decisao,A - Consolidado 2026,D - Pode variar por cenario,optimization.constraints.fuelcell_kw.max,optimization.constraints.fuelcell_kw.max,
M01,Biometano,B1,PCI biometano,PCI_BM,kWh/Nm3,10.19,Parametro de entrada,A - Consolidado 2026,Parametro fisico - manter,technology.biomethane.lhv_kwh_per_nm3,technology.biomethane.lhv_kwh_per_nm3,
M02,Biometano,B1,Fracao CH4,x_CH4,p.u.,0.965,Parametro de entrada,A - Consolidado 2026,Auditar qualidade / faixa futura,technology.biomethane.methane_fraction,technology.biomethane.methane_fraction,
M03,Biometano,B1,Oferta maxima biometano,V_sup_max,Nm3/dia,200.0,Restricao logistica,A - Consolidado 2026,D - Driver prospectivo importante,technology.biomethane.max_supply_nm3_day,technology.biomethane.max_supply_nm3_day,
M04,Biometano,B1,SOC inicial armazenamento BM,SOC_BM0,p.u.,0.5,Parametro de entrada,A - Consolidado 2026,Premissa operacional,technology.biomethane_storage.soc_init_fraction,technology.biomethane_storage.soc_init_fraction,
M05,Biometano,B1,SOC minimo armazenamento BM,,p.u.,0.0,Parametro de entrada,A - Consolidado 2026,Premissa operacional,technology.biomethane_storage.soc_min_fraction,technology.biomethane_storage.soc_min_fraction,
M06,Biometano,B1,Vida util armazenamento BM,,anos,20,Parametro de entrada,A - Consolidado 2026,D - Revisar se houver fonte futura,technology.biomethane_storage.lifetime_years,technology.biomethane_storage.lifetime_years,
M07,Biometano,B1,CAPEX armazenamento BM,,USD/Nm3,162.0,Parametro de entrada,A - Consolidado 2026,D - Driver prospectivo,economics.capex.biomethane_storage_usd_per_nm3,economics.capex.biomethane_storage_usd_per_nm3,
M08,Biometano,B1,Preco biometano,c_BM,USD/Nm3,0.7099,Parametro de entrada,A - Consolidado 2026,D - Driver prospectivo central,economics.opex_variable_biomethane.biomethane_usd_per_nm3,economics.opex_variable_biomethane.biomethane_usd_per_nm3,
M09,Biometano,B1,Preco BM - baixo,,USD/Nm3,0.5266,Sensibilidade baseline,A - Consolidado 2026,Pode auxiliar S1-S3,economics.price_sensitivity_biomethane.low_usd_per_nm3,economics.price_sensitivity_biomethane.low_usd_per_nm3,
M10,Biometano,B1,Preco BM - base,,USD/Nm3,0.7099,Sensibilidade baseline,A - Consolidado 2026,Referencia,economics.price_sensitivity_biomethane.base_usd_per_nm3,economics.price_sensitivity_biomethane.base_usd_per_nm3,
M11,Biometano,B1,Preco BM - alto,,USD/Nm3,0.8913,Sensibilidade baseline,A - Consolidado 2026,Pode auxiliar S1-S3,economics.price_sensitivity_biomethane.high_usd_per_nm3,economics.price_sensitivity_biomethane.high_usd_per_nm3,
C01-BM,CHP,B1,Eficiencia eletrica CHP,eta_el_CHP,p.u.,0.385,Parametro de entrada,A - Consolidado 2026,D - Driver tecnologico,technology.chp.eta_el,technology.chp.eta_el | technology.chp.electrical_efficiency,
C02-BM,CHP,B1,CAPEX CHP,,USD/kW,4160.0,Parametro de entrada,A - Consolidado 2026,D - Driver prospectivo central,economics.capex.chp_usd_per_kw,economics.capex.chp_usd_per_kw,
C03-BM,CHP,B1,O&M variavel CHP,,USD/kWh,0.0344,Parametro de entrada,A - Consolidado 2026,D - Prospectivo,economics.opex_variable_biomethane.chp_usd_per_kwh,economics.opex_variable_biomethane.chp_usd_per_kwh,
C04-BM,CHP,B1,OPEX fixo CHP,,fracao CAPEX/ano,0.0,Parametro de entrada,A - Consolidado 2026,C - Auditar fonte / intencionalidade,economics.opex_fixed.chp_fraction_of_capex_per_year,economics.opex_fixed.chp_fraction_of_capex_per_year,"Se valor 0.0 estiver no YAML, registrar como valor usado no baseline, mas auditar antes da prospectiva."
C05-BM,CHP,B1,Limite CHP,,kW,200,Restricao / espaco de decisao,A - Consolidado 2026,D - Pode variar por cenario,optimization.constraints.chp_kw.max,optimization.constraints.chp_kw.max,
C06-BM,CHP,B1,Limite armazenamento BM,,Nm3,400,Restricao / espaco de decisao,A - Consolidado 2026,D - Infraestrutura / logistica,optimization.constraints.biomethane_storage_nm3.max,optimization.constraints.biomethane_storage_nm3.max,
H-O01,Otimizacao,H2,Population,,individuos,48,Configuracao computacional,A - Consolidado 2026,Nao e driver prospectivo,ga.population,optimization.ga.population | optimization.population | ga.population | population,
H-O02,Otimizacao,H2,Generations,,geracoes,30,Configuracao computacional,A - Consolidado 2026,Nao e driver prospectivo,ga.generations,optimization.ga.generations | optimization.generations | ga.generations | generations,
H-O03,Otimizacao,H2,Pareto period,,h,24,Configuracao computacional,A - Consolidado 2026,Nao e driver prospectivo,optimization.pareto_period_hours,optimization.pareto_period_hours,
H-O04,Otimizacao,H2,Single-case period,,h,24,Configuracao computacional,A - Consolidado 2026,Nao e driver prospectivo,optimization.single_case_period_hours,optimization.single_case_period_hours,
H-O05,Otimizacao,H2,Seed,,,42,Reprodutibilidade,A - Consolidado 2026,Nao e driver prospectivo,reproducibility.seed,reproducibility.seed | optimization.seed | seed,
M-O01,Otimizacao,B1,Population,,individuos,48,Configuracao computacional,A - Consolidado 2026,Nao e driver prospectivo,ga.population,optimization.ga.population | optimization.population | ga.population | population,
M-O02,Otimizacao,B1,Generations,,geracoes,30,Configuracao computacional,A - Consolidado 2026,Nao e driver prospectivo,ga.generations,optimization.ga.generations | optimization.generations | ga.generations | generations,
M-O03,Otimizacao,B1,Pareto period,,h,24,Configuracao computacional,A - Consolidado 2026,Nao e driver prospectivo,optimization.pareto_period_hours,optimization.pareto_period_hours,
M-O04,Otimizacao,B1,Single-case period,,h,24,Configuracao computacional,A - Consolidado 2026,Nao e driver prospectivo,optimization.single_case_period_hours,optimization.single_case_period_hours,
M-O05,Otimizacao,B1,Seed,,,42,Reprodutibilidade,A - Consolidado 2026,Nao e driver prospectivo,reproducibility.seed,reproducibility.seed | optimization.seed | seed,
