ID,Grupo,Rota,Parametro,Simbolo,Unidade,Valor_2026,Classificacao,Status_2026,Auditoria_Fonte_2026,Driver_Prospectivo,Tratamento_Prospectivo,Arquivo_Fonte_2026,Caminho_YAML_Resolvido,Tipo_Fonte_2026,Fonte_Primaria_2026,Ano_Base_Fonte,Moeda_Base,Regra_Conversao,Justificativa_2026,Faixa_Incerteza_Baixa,Faixa_Incerteza_Alta,S1_2030_Valor,S1_2030_Fonte,S1_2030_Justificativa,S2_2030_Valor,S2_2030_Fonte,S2_2030_Justificativa,S3_2030_Valor,S3_2030_Fonte,S3_2030_Justificativa,S1_2040_Valor,S1_2040_Fonte,S1_2040_Justificativa,S2_2040_Valor,S2_2040_Fonte,S2_2040_Justificativa,S3_2040_Valor,S3_2040_Fonte,S3_2040_Justificativa,S1_2050_Valor,S1_2050_Fonte,S1_2050_Justificativa,S2_2050_Valor,S2_2050_Fonte,S2_2050_Justificativa,S3_2050_Valor,S3_2050_Fonte,S3_2050_Justificativa,Caminhos_YAML_Candidatos,Notas_Extracao,Observacoes,Classe_Modelagem,Escopo_Parametro,Projetar_2030_2050,Variar_S1_S2_S3,Sensibilidade,Derivado_De,Fonte_Prospectiva_Requerida,Prioridade_Pesquisa,Justificativa_Classificacao,Nota_Metodologica_V2
H-B08,BSV,H2,C-rate maximo,Cmax,h^-1,0.9,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver tecnologico,configs/paper/pv_bsv_h2_1500.yaml,technology.battery.c_rate_max,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,technology.battery.c_rate_max | technology.bsv.c_rate_max,,,T,COMMON,Nao,Nao,Sim,,Sim,Media,"Driver tecnologico; pode evoluir com maturidade, learning e desempenho da tecnologia.",
H-EC01,Economia,H2,Taxa de desconto / WACC real,r,p.u.,0.08,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver prospectivo 2030-2050,configs/paper/pv_bsv_h2_1500.yaml,economics.wacc_real,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economics.wacc_real | economics.discount_rate,,,E,COMMON,Sim,Sim,Nao,,Sim,Alta,Driver economico ou de mercado; sujeito a trajetorias temporais e cenarios.,
H-EC02,Economia,H2,Horizonte economico,n,anos,20,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Avaliar,Avaliar manutencao ou harmonizacao,configs/paper/pv_bsv_h2_1500.yaml,economics.analysis_horizon_years,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economics.analysis_horizon_years | economics.project_lifetime_years,,,O,COMMON,Nao,Nao,Nao,,Nao,Baixa,Premissa operacional mantida para comparabilidade; pode ser explorada em sensibilidade quando pertinente.,
H01,H2,H2,Eficiencia eletrolisador,eta_ELZ,p.u.,0.7,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver tecnologico central,configs/paper/pv_bsv_h2_1500.yaml,technology.efficiencies.electrolyzer,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,technology.efficiencies.electrolyzer | technology.hydrogen.electrolyzer_efficiency | technology.electrolyzer.efficiency | technology.electrolyzer.eta | technology.hydrogen.eta_elz,,,T,H2,Sim,Sim,Nao,,Sim,Alta,"Driver tecnologico; pode evoluir com maturidade, learning e desempenho da tecnologia.",
H02,H2,H2,PCI H2,PCI_H2,kWh/kg,33.33,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Avaliar,Parametro fisico - manter,configs/paper/pv_bsv_h2_1500.yaml,technology.hydrogen.lhv_kwh_per_kg,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,technology.hydrogen.lhv_kwh_per_kg | technology.h2.lhv_kwh_per_kg | technology.hydrogen.pci_kwh_per_kg,,,F,H2,Nao,Nao,Nao,,Nao,Baixa,Constante fisica; nao projetar temporalmente salvo mudanca de especificacao do combustivel.,
H03,H2,H2,Eficiencia fuel cell,eta_FC,p.u.,0.5,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver tecnologico central,configs/paper/pv_bsv_h2_1500.yaml,technology.efficiencies.fuelcell,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,technology.efficiencies.fuelcell | technology.hydrogen.fuelcell_efficiency | technology.fuelcell.efficiency | technology.fuel_cell.efficiency | technology.hydrogen.eta_fc,,,T,H2,Sim,Sim,Nao,,Sim,Alta,"Driver tecnologico; pode evoluir com maturidade, learning e desempenho da tecnologia.",
H04,H2,H2,CAPEX eletrolisador,,USD/kW,2000.0,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver prospectivo central,configs/paper/pv_bsv_h2_1500.yaml,economics.capex.electrolyzer_usd_per_kw,Configuracao YAML vigente,,2026,USD,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economics.capex.electrolyzer_usd_per_kw,,,T,H2,Sim,Sim,Nao,,Sim,Alta,"Driver tecnologico; pode evoluir com maturidade, learning e desempenho da tecnologia.",
H05,H2,H2,CAPEX tanque H2,,USD/kg,600.0,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver prospectivo,configs/paper/pv_bsv_h2_1500.yaml,economics.capex.h2_tank_usd_per_kg,Configuracao YAML vigente,,2026,USD,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economics.capex.h2_tank_usd_per_kg,,,T,H2,Sim,Sim,Nao,,Sim,Alta,"Driver tecnologico; pode evoluir com maturidade, learning e desempenho da tecnologia.",
H06,H2,H2,CAPEX fuel cell,,USD/kW,1300.0,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver prospectivo central,configs/paper/pv_bsv_h2_1500.yaml,economics.capex.fuelcell_usd_per_kw,Configuracao YAML vigente,,2026,USD,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economics.capex.fuelcell_usd_per_kw,,,T,H2,Sim,Sim,Nao,,Sim,Alta,"Driver tecnologico; pode evoluir com maturidade, learning e desempenho da tecnologia.",
H07,H2,H2,OPEX fixo eletrolisador,,fracao CAPEX/ano,0.02,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Prospectivo,configs/paper/pv_bsv_h2_1500.yaml,economics.opex_fixed.electrolyzer_fraction_of_capex_per_year,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economics.opex_fixed.electrolyzer_fraction_of_capex_per_year,,,E,H2,Sim,Nao,Nao,,Sim,Media,Driver economico ou de mercado; sujeito a trajetorias temporais e cenarios.,
H08,H2,H2,OPEX fixo fuel cell,,fracao CAPEX/ano,0.03,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Prospectivo,configs/paper/pv_bsv_h2_1500.yaml,economics.opex_fixed.fuelcell_fraction_of_capex_per_year,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economics.opex_fixed.fuelcell_fraction_of_capex_per_year,,,E,H2,Sim,Nao,Nao,,Sim,Media,Driver economico ou de mercado; sujeito a trajetorias temporais e cenarios.,
H09,H2,H2,OPEX fixo tanque H2,,fracao CAPEX/ano,0.01,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Prospectivo,configs/paper/pv_bsv_h2_1500.yaml,economics.opex_fixed.h2_tank_fraction_of_capex_per_year,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economics.opex_fixed.h2_tank_fraction_of_capex_per_year,,,E,H2,Sim,Nao,Nao,,Sim,Media,Driver economico ou de mercado; sujeito a trajetorias temporais e cenarios.,
H10,H2,H2,SOC inicial tanque H2,,p.u.,0.5,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Avaliar,Premissa operacional,configs/paper/pv_bsv_h2_1500.yaml,technology.h2_storage.soc_init_fraction,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,technology.h2_storage.soc_init_fraction,,,O,H2,Nao,Nao,Nao,,Nao,Baixa,Premissa operacional mantida para comparabilidade; pode ser explorada em sensibilidade quando pertinente.,
H11,H2,H2,Limite eletrolisador,,kW,500,Restricao / espaco de decisao,A - Consolidado 2026,Documentar fonte,Sim,D - Pode variar por cenario,configs/paper/pv_bsv_h2_1500.yaml,optimization.constraints.electrolyzer_kw.max,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,optimization.constraints.electrolyzer_kw.max,,,L,H2,Nao,Nao,Sim,,Sim,Media,"Limite do espaco de decisao; altera o dominio de busca, mas nao e driver prospectivo por si so.",Limite do espaco de busca. Nao projetar automaticamente; ampliar apenas se houver justificativa fisica/metodologica.
H12,H2,H2,Limite tanque H2,,kg,300,Restricao / espaco de decisao,A - Consolidado 2026,Documentar fonte,Sim,D - Pode variar por cenario,configs/paper/pv_bsv_h2_1500.yaml,optimization.constraints.h2_tank_kg.max,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,optimization.constraints.h2_tank_kg.max,,,L,H2,Nao,Nao,Sim,,Sim,Media,"Limite do espaco de decisao; altera o dominio de busca, mas nao e driver prospectivo por si so.",Limite do espaco de busca. Nao projetar automaticamente; ampliar apenas se houver justificativa fisica/metodologica.
H13,H2,H2,Limite fuel cell,,kW,500,Restricao / espaco de decisao,A - Consolidado 2026,Documentar fonte,Sim,D - Pode variar por cenario,configs/paper/pv_bsv_h2_1500.yaml,optimization.constraints.fuelcell_kw.max,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,optimization.constraints.fuelcell_kw.max,,,L,H2,Nao,Nao,Sim,,Sim,Media,"Limite do espaco de decisao; altera o dominio de busca, mas nao e driver prospectivo por si so.",Limite do espaco de busca. Nao projetar automaticamente; ampliar apenas se houver justificativa fisica/metodologica.
H-O01,Otimizacao,H2,Population,,individuos,48,Configuracao computacional,A - Consolidado 2026,Nao prioritario,Nao,Nao e driver prospectivo,configs/paper/pv_bsv_h2_1500.yaml,ga.population,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,optimization.ga.population | optimization.population | ga.population | population,,,C,H2,Nao,Nao,Nao,,Nao,Baixa,Configuracao computacional ou de reprodutibilidade; nao representa evolucao prospectiva.,
H-O02,Otimizacao,H2,Generations,,geracoes,30,Configuracao computacional,A - Consolidado 2026,Nao prioritario,Nao,Nao e driver prospectivo,configs/paper/pv_bsv_h2_1500.yaml,ga.generations,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,optimization.ga.generations | optimization.generations | ga.generations | generations,,,C,H2,Nao,Nao,Nao,,Nao,Baixa,Configuracao computacional ou de reprodutibilidade; nao representa evolucao prospectiva.,
H-O03,Otimizacao,H2,Pareto period,,h,24,Configuracao computacional,A - Consolidado 2026,Nao prioritario,Nao,Nao e driver prospectivo,configs/paper/pv_bsv_h2_1500.yaml,optimization.pareto_period_hours,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,optimization.pareto_period_hours,,,C,H2,Nao,Nao,Nao,,Nao,Baixa,Configuracao computacional ou de reprodutibilidade; nao representa evolucao prospectiva.,
H-O04,Otimizacao,H2,Single-case period,,h,24,Configuracao computacional,A - Consolidado 2026,Nao prioritario,Nao,Nao e driver prospectivo,configs/paper/pv_bsv_h2_1500.yaml,optimization.single_case_period_hours,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,optimization.single_case_period_hours,,,C,H2,Nao,Nao,Nao,,Nao,Baixa,Configuracao computacional ou de reprodutibilidade; nao representa evolucao prospectiva.,
H-O05,Otimizacao,H2,Seed,,,42,Reprodutibilidade,A - Consolidado 2026,Nao prioritario,Nao,Nao e driver prospectivo,configs/paper/pv_bsv_h2_1500.yaml,reproducibility.seed,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reproducibility.seed | optimization.seed | seed,,,C,H2,Nao,Nao,Nao,,Nao,Baixa,Configuracao computacional ou de reprodutibilidade; nao representa evolucao prospectiva.,
H-PV01,PV,H2,CAPEX PV,,USD/kW,1000.0,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver prospectivo central,configs/paper/pv_bsv_h2_1500.yaml,economics.capex.pv_usd_per_kw,Configuracao YAML vigente,,2026,USD,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economics.capex.pv_usd_per_kw,,,T,COMMON,Sim,Sim,Nao,,Sim,Alta,"Driver tecnologico; pode evoluir com maturidade, learning e desempenho da tecnologia.",
H-PV02,PV,H2,OPEX fixo PV,,fracao CAPEX/ano,0.01,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Prospectivo se houver fonte diferenciada,configs/paper/pv_bsv_h2_1500.yaml,economics.opex_fixed.pv_fraction_of_capex_per_year,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economics.opex_fixed.pv_fraction_of_capex_per_year,,,E,COMMON,Sim,Nao,Nao,,Sim,Media,Driver economico ou de mercado; sujeito a trajetorias temporais e cenarios.,
H-G01,Rede,H2,Modelo tarifario,,,two_tier,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver de politica tarifaria,configs/paper/pv_bsv_h2_1500.yaml,tariff.pricing_model,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tariff.pricing_model,,,R,COMMON,Nao,Nao,Sim,,Sim,Media,"Parametro regulatorio, tarifario, logistico ou de infraestrutura.",Manter no cenario prospectivo principal; eventual mudanca estrutural deve ser tratada como analise especifica de politica.
H-G02,Rede,H2,Tarifa fora de ponta,c_off,USD/kWh,0.15,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver prospectivo central,configs/paper/pv_bsv_h2_1500.yaml,tariff.offpeak_price_usd_kwh,Configuracao YAML vigente,,2026,USD,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tariff.offpeak_price_usd_kwh | tariff.offpeak_usd_per_kwh,,,E,COMMON,Sim,Sim,Nao,,Sim,Alta,Driver economico ou de mercado; sujeito a trajetorias temporais e cenarios.,
H-G03,Rede,H2,Tarifa ponta,c_peak,USD/kWh,0.5,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver prospectivo central,configs/paper/pv_bsv_h2_1500.yaml,tariff.peak_price_usd_kwh,Configuracao YAML vigente,,2026,USD,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tariff.peak_price_usd_kwh | tariff.peak_usd_per_kwh,,,E,COMMON,Sim,Sim,Nao,,Sim,Alta,Driver economico ou de mercado; sujeito a trajetorias temporais e cenarios.,
H-G04,Rede,H2,Inicio da ponta,,hora,18,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Politica tarifaria,configs/paper/pv_bsv_h2_1500.yaml,tariff.peak_window.start_hour,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tariff.peak_window.start_hour | tariff.peak_start_hour,,,R,COMMON,Nao,Nao,Sim,,Sim,Media,"Parametro regulatorio, tarifario, logistico ou de infraestrutura.",Manter no cenario prospectivo principal; eventual mudanca estrutural deve ser tratada como analise especifica de politica.
H-G05,Rede,H2,Fim da ponta,,hora,21,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Politica tarifaria,configs/paper/pv_bsv_h2_1500.yaml,tariff.peak_window.end_hour,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tariff.peak_window.end_hour | tariff.peak_end_hour,,,R,COMMON,Nao,Nao,Sim,,Sim,Media,"Parametro regulatorio, tarifario, logistico ou de infraestrutura.",Manter no cenario prospectivo principal; eventual mudanca estrutural deve ser tratada como analise especifica de politica.
H-G06,Rede,H2,Inclui demanda contratada,,boolean,True,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Politica tarifaria,configs/paper/pv_bsv_h2_1500.yaml,tariff.include_demand_charge,Configuracao YAML vigente,,2026,,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tariff.include_demand_charge,,,R,COMMON,Nao,Nao,Sim,,Sim,Media,"Parametro regulatorio, tarifario, logistico ou de infraestrutura.",Manter no cenario prospectivo principal; eventual mudanca estrutural deve ser tratada como analise especifica de politica.
H-G07,Rede,H2,Tarifa de demanda,,USD/kW.mes,30.0,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver prospectivo,configs/paper/pv_bsv_h2_1500.yaml,tariff.demand_charge_usd_kw_month,Configuracao YAML vigente,,2026,USD,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tariff.demand_charge_usd_kw_month,,,E,COMMON,Sim,Sim,Nao,,Sim,Alta,Driver economico ou de mercado; sujeito a trajetorias temporais e cenarios.,
M-B01A,BSV,B1,CAPEX modulo BSV,,USD/kWh,120.0,Parametro de entrada,A - Consolidado 2026,Documentar fonte,Sim,D - Driver prospectivo central,configs/paper/pv_bsv_biomethane_1500.yaml,economics.capex.bsv_module_usd_per_kwh,Configuracao YAML vigente,,2026,USD,,Valor efetivamente utilizado no baseline 2026; extraido automaticamente do YAML vigente.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,economics.capex.bsv_module_usd_per_kwh,,,T,COMMON,Sim,Sim,Nao,,Sim,Alta,"Driver tecnologico; pode evoluir com maturidade, learning e desempenho da tecnologia.",
